Time, Audience01, Audience02, Audience03, Audience04, Audience05, Audience06, Audience07, Audience08, Audience09, Audience10, Audience11, Audience12, Audience13, Audience14, Audience15, Audience16 
6.7, 0.00139, 0.00156, -0.00058, 0, -0.00331, 0.00135, 0.0047, -0.01706, -0.00302, -0.0008, 6e-05, 0.00055, 0.00065, -0.00125, -0.00022, 0
6.8, 0.00108, 0.0026, -0.00114, 0, -0.00301, 0.00093, 0.0069, -0.00721, -0.00349, -0.00065, -0.0002, 0.00046, 7e-05, -0.00106, -0.00025, 0
6.9, 0.00113, 0.0036, -0.00142, 0, -0.00333, 0.00076, 0.00659, 0.00469, -0.00399, -0.00026, -0.00013, 0.00036, 0.0001, -0.0011, -0.0002, 0
7.0, 0.00134, 0.0041, -0.00182, 0, -0.00247, 0.00065, 0.00624, 0.01302, -0.00397, -0.0002, 0.00045, 0.00033, 0.00013, -0.00113, -0.00025, 0
7.1, 0.00147, 0.00374, -0.00195, 0, 0.00065, 0.001, 0.006, 0.01291, -0.00333, -3e-05, 0.00124, 0.00026, 0.00033, -0.00151, -0.00037, 0
7.2, 0.0014, 0.00346, -0.00211, 0, 0.00308, 0.00145, 0.00622, 0.01564, -0.0027, -5e-05, 0.00265, 0.00017, 0.00026, -0.00136, -0.00028, 0
7.3, 0.00143, 0.0051, -0.00219, 0, 0.00444, 0.00211, 0.00748, 0.01818, -0.00104, -0.0009, 0.00025, 0.0001, 0.0001, -0.00113, -0.00025, 0
7.4, 0.00141, 0.00697, -0.0021, 0, 0.00388, 0.00284, 0.00977, 0.01651, 0.00034, -0.0012, -0.00222, 4e-05, -4e-05, -0.00121, -0.00017, 0
7.5, 0.0013, 0.0079, -0.00198, 0, 0.00166, 0.00258, 0.01261, 0.01645, 0.00166, -0.00091, -0.00298, 4e-05, -0.00041, -0.00095, -0.00029, 0
7.6, 0.00141, 0.00821, -0.00182, 0, -0.00021, 0.00216, 0.01174, 0.01584, 0.00218, -0.0001, -0.00509, -6e-05, 0.00018, -0.00092, -0.0003, 0
7.7, 0.00135, 0.00943, -0.00173, 0, -0.00102, 0.00281, 0.0091, 0.01603, 0.00278, 0.00106, -0.00695, -0.0001, 0.00145, -0.00111, -0.00022, 0
7.8, 0.00122, 0.01213, -0.00202, 0, -0.00167, 0.00378, 0.00714, 0.01636, 0.00326, 0.0024, -0.00774, -0.00023, 0.00219, -0.00157, -0.0003, 0
7.9, 0.00115, 0.01337, -0.00251, 0, -0.00165, 0.00531, 0.006, 0.01412, 0.00363, 0.00328, -0.0087, -0.0002, 0.00174, -0.00171, -0.00026, 0
