Offset: 0, Movie: MoviePathHere, DataFile: (null)
Tracks: 06 Laugh, 07 Laugh, 08 Laugh, 09 Laugh, 10 Laugh, 11 Laugh, 13 Laugh, 14 Laugh
Time,Duration,TrackName,comment
661480,4639,11 Laugh,Smiling
662040,1759,06 Laugh,Laughing
662441,3959,07 Laugh,Laughing
663081,3278,10 Laugh,Laughing
663800,37640,06 Laugh,Not Laughing
666120,8160,11 Laugh,Not Laughing
666360,33480,10 Laugh,Not Laughing
666440,8039,07 Laugh,Not Laughing
666662,6298,09 Laugh,Not Laughing
668520,57719,13 Laugh,Not Laughing
672800,14280,08 Laugh,Smiling
672961,8359,09 Laugh,Smiling
674281,4119,11 Laugh,Smiling
674480,3239,07 Laugh,Smiling
677720,23280,07 Laugh,Not Laughing
678401,22078,11 Laugh,Not Laughing
681321,18439,09 Laugh,Not Laughing
687081,13638,08 Laugh,Not Laughing
699761,9679,09 Laugh,Smiling
699841,7999,10 Laugh,Laughing
700480,3920,11 Laugh,Smiling
700720,5759,08 Laugh,Smiling
701001,3118,07 Laugh,Laughing
701441,2399,06 Laugh,Laughing
703841,8999,06 Laugh,Not Laughing
704120,9119,07 Laugh,Not Laughing
704401,25758,11 Laugh,Not Laughing
706480,23400,08 Laugh,Not Laughing
707841,5718,10 Laugh,Not Laughing
709441,4478,09 Laugh,Not Laughing
712841,5679,06 Laugh,Indeterminate
713240,4319,07 Laugh,Laughing
713360,6759,14 Laugh,Smiling
713560,16440,10 Laugh,Smiling
713920,6360,09 Laugh,Smiling
717560,12479,07 Laugh,Not Laughing
718521,12078,06 Laugh,Not Laughing
720159,9601,14 Laugh,Not Laughing
720281,8799,09 Laugh,Not Laughing
726240,12840,13 Laugh,Smiling
729081,5799,09 Laugh,Smiling
729761,4718,14 Laugh,Smiling
729881,6158,08 Laugh,Smiling
730001,4718,10 Laugh,Laughing
730040,4280,07 Laugh,Laughing
730160,5759,11 Laugh,Smiling
730640,2159,06 Laugh,Laughing
732840,16879,06 Laugh,Not Laughing
734321,15398,07 Laugh,Not Laughing
734520,14880,14 Laugh,Not Laughing
734720,20319,10 Laugh,Not Laughing
734919,22921,09 Laugh,Not Laughing
735920,15160,11 Laugh,Not Laughing
736040,19240,08 Laugh,Not Laughing
739119,49040,13 Laugh,Not Laughing
749401,3919,14 Laugh,Smiling
749720,2360,07 Laugh,Smiling
749720,8399,06 Laugh,Smiling
751081,6559,11 Laugh,Smiling
752081,1958,07 Laugh,Indeterminate
753321,3879,14 Laugh,Not Laughing
754040,1079,07 Laugh,Not Laughing
755040,32840,10 Laugh,Smiling
755120,2720,07 Laugh,Smiling
755281,11078,08 Laugh,Smiling
757201,8598,14 Laugh,Smiling
757641,8958,11 Laugh,Laughing
757841,2758,07 Laugh,Laughing
757841,7679,09 Laugh,Smiling
758120,3119,06 Laugh,Indeterminate
760600,5879,07 Laugh,Smiling
761240,24905,06 Laugh,Not Laughing
765559,3560,09 Laugh,Not Laughing
765840,21199,14 Laugh,Not Laughing
766360,21679,08 Laugh,Not Laughing
766480,4280,07 Laugh,Not Laughing
766600,51240,11 Laugh,Smiling
769120,4160,09 Laugh,Smiling
770761,3559,07 Laugh,Smiling
773320,53760,09 Laugh,Not Laughing
774321,12519,07 Laugh,Not Laughing
786145,1534,06 Laugh,Laughing
786841,8078,07 Laugh,Smiling
787040,3679,14 Laugh,Smiling
787680,38600,06 Laugh,Not Laughing
787880,3000,10 Laugh,Laughing
788040,4679,08 Laugh,Smiling
788160,15040,13 Laugh,Smiling
790720,35639,14 Laugh,Not Laughing
790881,26278,10 Laugh,Not Laughing
792720,28639,08 Laugh,Not Laughing
794920,17960,07 Laugh,Not Laughing
803239,26560,13 Laugh,Not Laughing
812881,1718,07 Laugh,Smiling
814600,6720,07 Laugh,Not Laughing
817160,17680,10 Laugh,Smiling
817841,7878,11 Laugh,Laughing
821321,2199,07 Laugh,Smiling
821360,2600,08 Laugh,Smiling
823521,3278,07 Laugh,Not Laughing
823961,3518,08 Laugh,Not Laughing
825720,10040,11 Laugh,Smiling
826281,4599,06 Laugh,Laughing
826360,4520,14 Laugh,Smiling
826800,4999,07 Laugh,Indeterminate
827081,8398,09 Laugh,Smiling
827480,8319,08 Laugh,Smiling
829840,6839,13 Laugh,Smiling
830881,4879,06 Laugh,Smiling
830919,4481,14 Laugh,Not Laughing
831800,3640,07 Laugh,Smiling
834841,1159,10 Laugh,Not Laughing
835401,5679,14 Laugh,Smiling
835441,5639,07 Laugh,Laughing
835480,5559,09 Laugh,Laughing
835761,3199,06 Laugh,Laughing
835761,6319,11 Laugh,Laughing
835800,3520,08 Laugh,Laughing
836001,4158,10 Laugh,Laughing
836680,5345,13 Laugh,Laughing
838961,2638,06 Laugh,Smiling
839321,31199,08 Laugh,Not Laughing
840160,1959,10 Laugh,Smiling
841040,22759,09 Laugh,Not Laughing
841081,13038,07 Laugh,Not Laughing
841119,31401,14 Laugh,Not Laughing
841600,28400,06 Laugh,Not Laughing
842025,96894,13 Laugh,Not Laughing
842119,12761,11 Laugh,Not Laughing
